Tên dự án,Mức giá
Kita Capital Crown - Ciputra,300.0
Kiến Hưng Luxury,227.14
KĐT Làng Quốc tế Thăng Long,61.86
KĐT Tây Hồ Tây - Starlake Hà Nội,70.0
KĐT Tây Nam Kim Giang,66.67
La Casta Văn Phú,76.11
Lancaster Hà Nội,71.67
Lancaster Luminaire,69.09
Licogi 13 Tower,55.56
Liền kề Tổng cục 5 Tân Triều,168.18
Liền kề Rice City Sông Hồng,50.0
Louis City,213.64
Louis City Hoàng Mai,268.42
Lucky House Kiến Hưng,40.43
Lumi Elite,81.48
Lumi Hanoi,66.55
Lumi Prestige,70.32
Lumiere EverGreen,83.33
Làng Việt Kiều Châu Âu Euroland,43.23
Lộc Ninh Singashine,27.34
MHD Trung Văn,26.93
Mandarin Garden,64.62
Mandarin Garden 2,73.44
Masteri Grand Avenue,89.47
Masteri Waterfront,59.52
Masteri West Heights,52.82
Minori Village,239.83
Mipec City View,39.0
Mipec Riverside,67.0
Mipec Rubik 360,64.77
Momota -151A Nguyễn Đức Cảnh,46.92
Mon City,61.19
Mulberry Lane,43.0
Mỹ Sơn Tower,47.37
Mỹ Đình Pearl,53.16
Mỹ Đình Plaza,58.0
Mỹ Đình Plaza 2,54.55
N01-T5 Ngoại Giao Đoàn,93.0
N04 - KĐT Đông Nam Trần Duy Hưng,80.0
N05 - KDT Đông Nam Trần Duy Hưng,51.38
Nam Đô Complex 609 Trương Định,56.25
New Horizon City - 87 Lĩnh Nam,60.0
New Skyline,64.15
Newhouse Xa La,237.35
Newtatco Complex,52.63
Nhà ở xã hội @Home,49.09
Nhà ở xã hội Bộ Tư lệnh Tăng Thiết Giáp,53.25
Nhà ở xã hội Him Lam Thượng Thanh,19.0
Noble Crystal Tây Hồ,175.0
Northern Diamond,51.87
PCC1 Complex,47.17
PVV-Vinapharm 60B Nguyễn Huy Tưởng,65.0
Pacific Place,58.0
Park Hill Premium - Times City,87.16
Park Kiara,91.46
Park View City,78.4
ParkCity Hà Nội,241.67
PentStudio,71.43
Phú Gia Residence,62.63
Platinum Residences,73.73
Rice City Linh Đàm,52.57
Rice City Sông Hồng,50.0
Rivera Park Hà Nội,64.24
Riverside Garden,71.43
Riverside Tower,150.0
Roman Plaza,45.67
Rose Town 79 Ngọc Hồi,32.21
Royal City,68.38
Ruby City,45.51
Ruby Tower,71.43
Rue De Charme,254.03
SDU - 143 Trần Phú,47.86
SME Hoàng Gia,35.0
Samsora Premier,49.38
Sapphire Palace,50.0
Seasons Avenue,50.8
Sky Central,67.37
Sky City Towers-88 Láng Hạ,90.12
Sky Park Residence,70.0
Sol Lake Villa,105.0
Solasta Mansion Dương Nội,138.0
South Tower,48.18
Star City Lê Văn Lương,62.38
Star Tower (Tòa tháp Ngôi Sao),62.07
Star Tower 283 Khương Trung,65.0
Sun Grand City,120.0
Sun Grand City Ancora Residence,90.77
Sun Square,47.27
Sunny Garden City,49.28
Sunshine Capital Tây Thăng Long,190.48
Sunshine Center,67.59
Sunshine City,263.59
Sunshine Garden,46.43
Sunshine Golden River,86.25
Sunshine Green Iconic,68.12
Sunshine Riverside,63.54
Sài Đồng Lake View,41.55
Sông Hồng Park View,61.57
Sông Đà Hà Đông Tower,43.16
T&T Riverview,50.0
T&T Tower,65.17
TIG Đại Mỗ - Green Garden House,169.49
TSQ Galaxy,264.37
Tecco Diamond,54.29
Tecco Garden,37.95
Tecco Skyville Tower,25.0
Tecco Tứ Hiệp,308.33
Thanh Xuân Complex,78.86
The Artemis,75.0
The Beverly - Vinhomes Ocean Park,45.16
The Canopy Residences - Vinhomes Smart City,60.61
The Charm An Hưng,60.0
The Diamond Point,257.14
The Emerald,42.86
The Garden,68.81
The Garden Hills - 99 Trần Bình,49.41
The Golden Armor,100.0
The Golden Palm Lê Văn Lương,60.0
The Grand Hà Nội,483.87
The Lake,60.0
The Legend Tower 109 Nguyễn Tuân,65.09
The London - Vinhomes Ocean Park,52.08
The Manor - Hà Nội,66.04
The Manor Central Park,212.0
The Mansions,337.66
The Matrix One,53.76
The Melody Complex Ciputra,270.0
The Miami,49.13
The Nelson Private Residences,37.5
The One Residence - Gamuda Garden,54.38
The Park Home,70.09
The Pavilion - Vinhomes Ocean Park,46.82
The Premier Hà Nội,387.1
The Pride,35.0
The Sapphire 1 - Vinhomes Ocean Park,42.63
The Sapphire 2 - Vinhomes Ocean Park,45.25
The Sapphire-Vinhomes Smart City,47.69
The Sparks,41.67
The Terra An Hưng,55.0
The Tonkin - Vinhomes Smart City,38.46
The Two Residence - Gamuda Garden,63.29
The Vesta,37.78
The Victoria - Vinhomes Smart City,69.0
The Zei Mỹ Đình,45.22
The Zenpark,47.23
The Zurich - Vinhomes Ocean Park,53.0
Thành Công Tower 57 Láng Hạ,62.5
Thành phố Giao Lưu,260.87
Thành Đông Building,291.67
Tháp doanh nhân Tower,41.67
Thăng Long Garden,56.76
Thăng Long Number One,46.15
Times City,67.44
Times Tower Lê Văn Lương,66.41
Tiểu khu đô thị Nam La Khê,213.33
Tiểu khu đô thị mới Vạn Phúc,132.5
Toà nhà 335 Cầu Giấy,59.44
Toà nhà 93 Lò Đúc - Kinh Đô Tower,72.97
Toà nhà hỗn hợp Vườn Đào,50.0
Trinity Tower,50.0
Trung Yên Plaza,72.03
Trung tâm thương mại Chợ Mơ,48.0
Trung tâm thương mại TSQ,58.2
Tràng An Complex,78.16
Tây Hà Tower,43.65
Tây Hồ Residence,82.35
Tây Hồ River View,54.35
Tây Nam Hồ Linh Đàm,50.0
Tòa Tháp Thiên Niên Kỷ - Hatay Millennium,66.67
Tòa nhà 183 Nguyễn Lương Bằng,70.0
Tòa nhà 197 Trần Phú,48.89
Tòa nhà 282 Lĩnh Nam,41.96
Tòa nhà Intracom1 - Trung Văn,41.9
Tòa nhà Licogi 12,51.55
