Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,110.0,154.5454559326172,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Đông - Nam,Không có thông tin,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,115.0,147.82608032226562,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Đông - Nam,Tây - Bắc,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,146.0,164.38356018066406,2.0,3.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,55.0,145.4545440673828,1.0,1.0,4,3,Không có thông tin,,,3.0,1544.0,Không có thông tin,Không có thông tin,M
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,205.0,80.48780822753906,4.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,155.0,70.96774291992188,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,120.0,116.66666412353516,3.0,2.0,4,3,Không có thông tin,,,,,Bắc,Nam,Q
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,145.0,75.0,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Giảng Võ,Ba Đình,Tổng công ty 36 - Bộ quốc phòng,The Golden Armor,Căn hộ chung cư,74.0,114.8648681640625,2.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,87.0,130.0,2.0,2.0,3,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Liễu Giai,Ba Đình,Tổng Công ty Viglacera,Chung cư 671 Hoàng Hoa Thám,Căn hộ chung cư,113.0,70.79646301269531,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Đông - Nam,Q
Liễu Giai,Ba Đình,Tổng Công ty Viglacera,Chung cư 671 Hoàng Hoa Thám,Căn hộ chung cư,90.0,75.55555725097656,3.0,2.0,4,2,Không có thông tin,,,,,Không có thông tin,Bắc,Q
Liễu Giai,Ba Đình,Tổng Công ty Viglacera,Chung cư 671 Hoàng Hoa Thám,Căn hộ chung cư,95.0,61.05263137817383,2.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,100.0,2.0,2.0,4,3,Không có thông tin,,,,,Đông - Nam,Tây - Bắc,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,132.53012084960938,2.0,2.0,4,2,Không có thông tin,,,,,Tây - Nam,Đông - Bắc,N
Liễu Giai,Ba Đình,Tổng Công ty Viglacera,Chung cư 671 Hoàng Hoa Thám,Căn hộ chung cư,91.0,74.72527313232422,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,108.4337387084961,2.0,2.0,3,1,Không có thông tin,,,,,Đông - Nam,Tây - Bắc,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,106.0,113.20755004882812,3.0,2.0,3,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,108.4337387084961,2.0,2.0,3,1,Không có thông tin,,,,,Đông - Bắc,Tây - Nam,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,106.0,135.0,3.0,2.0,3,2,Không có thông tin,,,,,Đông - Bắc,Đông - Nam,N
Giảng Võ,Ba Đình,Công ty CP Đầu tư Phát triển nhà Gia Bảo,Chung cư D2 Giảng Võ,Căn hộ chung cư,45.0,98.88888549804688,2.0,1.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Giảng Võ,Ba Đình,Công ty CP Đầu tư Phát triển nhà Gia Bảo,Chung cư D2 Giảng Võ,Căn hộ chung cư,200.0,82.5,4.0,3.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,Căn hộ chung cư,126.0,87.30158996582031,2.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,M
Vĩnh Phúc,Ba Đình,Công ty TNHH Hoà Bình,Hòa Bình Green Apartment,Căn hộ chung cư,105.0,76.19047546386719,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Đông - Nam,N
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,122.0,69.67213439941406,2.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,113.8,131.81019592285156,3.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,207.0,140.0,7.0,3.0,4,3,Không có thông tin,,,3.0,1544.0,Không có thông tin,Đông - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,87.0,137.9310302734375,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Vĩnh Phúc,Ba Đình,Công ty CP đầu tư & xây dựng Ba Đình số 1,Khu nhà ở số 6 Đội Nhân,Căn hộ chung cư,86.0,60.46511459350586,2.0,2.0,4,1,Không có thông tin,,,2.0,,Không có thông tin,Không có thông tin,N
