Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Loại hình,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng,Số tòa,Số căn hộ,Hướng nhà,Hướng ban công,Mã lịch sử giá
Vĩnh Phúc,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Nhà Biệt thự, liền kề",150.0,351.3333435058594,5.0,5.0,4,1,8.199999809265137,30.0,4.0,,,Không có thông tin,Không có thông tin,Q
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,"Nhà Biệt thự, liền kề",144.2,520.1109619140625,5.0,5.0,4,2,7.75,20.0,5.0,,,Tây - Bắc,Tây - Bắc,M
Liễu Giai,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Nhà Biệt thự, liền kề",140.0,346.4285583496094,4.0,4.0,4,3,16.0,20.0,4.0,,,Không có thông tin,Không có thông tin,Q
Vĩnh Phúc,Ba Đình,Công ty CP đầu tư & xây dựng Ba Đình số 1,Khu nhà ở số 6 Đội Nhân,"Nhà Biệt thự, liền kề",155.0,238.7096710205078,4.0,5.0,4,3,8.199999809265137,20.0,4.0,2.0,,Tây,Không có thông tin,N
Đội Cấn,Ba Đình,Không có chủ đầu tư,Không phải dự án,"Nhà Biệt thự, liền kề",114.0,315.7894592285156,6.0,6.0,4,3,5.5,20.0,5.0,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,135.0,2.0,2.0,3,2,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,134.93975830078125,2.0,2.0,4,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Thành Công,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,50.0,79.5999984741211,2.0,1.0,4,1,Không có thông tin,,,,,Đông - Nam,Không có thông tin,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,337.0,237.3887176513672,6.0,4.0,4,1,Không có thông tin,,,3.0,1544.0,Tây,Đông - Bắc,M
Giảng Võ,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,90.0,54.0,3.0,1.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,78.09,99.88475036621094,2.0,2.0,4,4,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,Căn hộ chung cư,120.0,71.66666412353516,3.0,2.0,4,4,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,130.0,2.0,2.0,3,3,Không có thông tin,,,,,Tây - Nam,Đông - Bắc,N
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,142.0,75.35211181640625,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Đông - Nam,Q
Giảng Võ,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,52.0,86.53845977783203,2.0,1.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Kim Mã,Ba Đình,Công ty CP Đầu tư Văn Phú - Invest,Grandeur Palace Giảng Võ,Căn hộ chung cư,128.0,117.1875,3.0,2.0,4,4,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Kim Mã,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,42.0,92.85713958740234,2.0,1.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Cống Vị,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,120.0,54.16666793823242,4.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,115.0,139.13043212890625,3.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Tây - Bắc,Đông - Nam,M
Thành Công,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,31.0,119.3548355102539,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Kim Mã,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,55.0,50.0,2.0,1.0,4,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Liễu Giai,Ba Đình,Tổng Công ty Viglacera,Chung cư 671 Hoàng Hoa Thám,Căn hộ chung cư,107.0,70.09346008300781,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Đông - Nam,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,130.0,2.0,2.0,4,3,Không có thông tin,,,,,Đông - Nam,Đông - Nam,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,150.0,2.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,83.0,135.0,2.0,2.0,4,3,Không có thông tin,,,,,Bắc,Nam,N
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,144.0,77.77777862548828,3.0,2.0,4,1,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,Q
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,193.0,72.0207290649414,4.0,2.0,4,1,Không có thông tin,,,,,Tây - Nam,Đông - Bắc,Q
Thành Công,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,110.0,39.09090805053711,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Ngọc Khánh,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,110.0,39.09090805053711,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Giảng Võ,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,60.0,70.83333587646484,2.0,1.0,4,1,Không có thông tin,,,,,Không có thông tin,Đông - Nam,M
Ngọc Khánh,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,80.0,46.125,3.0,2.0,4,1,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Giảng Võ,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,70.0,62.57143020629883,2.0,1.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,Căn hộ chung cư,78.0,147.43589782714844,2.0,2.0,4,3,Không có thông tin,,,3.0,1544.0,Đông - Nam,Không có thông tin,M
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,80.0,37.5,2.0,2.0,4,3,Không có thông tin,,,,,Tây - Bắc,Đông - Nam,N
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,120.0,116.66666412353516,3.0,2.0,4,3,Không có thông tin,,,,,Bắc,Nam,Q
Trúc Bạch,Ba Đình,Công ty CP Tháp nước Hà Nội,Hà Nội Aqua Central,Căn hộ chung cư,110.0,141.81817626953125,3.0,2.0,4,4,Không có thông tin,,,,,Nam,Bắc,Q
Vĩnh Phúc,Ba Đình,Công ty TNHH Hoà Bình,Hòa Bình Green Apartment,Căn hộ chung cư,124.0,129.03225708007812,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Trúc Bạch,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,106.0,74.05660247802734,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Không có thông tin,Q
Thành Công,Ba Đình,HD Mon Holdings,The Nelson Private Residences,Căn hộ chung cư,106.0,135.0,3.0,2.0,4,4,Không có thông tin,,,,,Không có thông tin,Không có thông tin,N
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,Căn hộ chung cư,126.0,109.52381134033203,3.0,2.0,4,3,Không có thông tin,,,,,Đông,Đông - Nam,M
Thành Công,Ba Đình,Công ty CP Đầu tư và Xây dựng số 1 Hà Nội,Thành Công Tower 57 Láng Hạ,Căn hộ chung cư,142.0,79.57746124267578,3.0,2.0,4,3,Không có thông tin,,,,,Không có thông tin,Đông - Nam,Q
Liễu Giai,Ba Đình,Tổng Công ty Viglacera,Chung cư 671 Hoàng Hoa Thám,Căn hộ chung cư,101.0,74.2574234008789,2.0,2.0,4,1,Không có thông tin,,,,,Bắc,Đông - Nam,Q
Giảng Võ,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,50.0,49.599998474121094,2.0,1.0,4,2,Không có thông tin,,,,,Không có thông tin,Không có thông tin,M
Cống Vị,Ba Đình,Không có chủ đầu tư,Không phải dự án,Căn hộ chung cư,43.0,97.6744155883789,3.0,1.0,4,2,Không có thông tin,,,,,Bắc,Nam,N
