Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Diện tích (m²),Mức giá (triệu/m²),Số phòng ngủ (phòng),Số toilet (phòng),Pháp lý,Nội thất,Mã lịch sử giá
Thanh Lương,Hai Bà Trưng,Tư nhân,Tư nhân,38.0,165.7894744873047,4.0,3.0,Đầy đủ,Cơ bản,M
Xuân Đỉnh,Bắc Từ Liêm,Tư nhân,Tư nhân,150.0,276.26666259765625,6.0,10.0,Đầy đủ,Đầy đủ,Q
Dịch Vọng Hậu,Cầu Giấy,Tư nhân,Tư nhân,65.0,500.0,6.0,9.0,Đầy đủ,Đầy đủ,M
Phú La,Hà Đông,Tư nhân,Tư nhân,58.5,299.1452941894531,12.0,8.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,55.0,53.6363639831543,2.0,1.0,Đầy đủ,Đầy đủ,N
Xuân La,Tây Hồ,Tư nhân,Tư nhân,32.0,278.125,6.0,7.0,Đầy đủ,Đầy đủ,M
Dương Nội,Hà Đông,Tư nhân,Tư nhân,43.3,131.6397247314453,4.0,3.0,Đầy đủ,Cơ bản,M
Cự Khối,Long Biên,Tư nhân,Tư nhân,57.0,117.54386138916016,4.0,4.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,81.0,51.85185241699219,3.0,2.0,Đầy đủ,Cơ bản,N
Mỗ Lao,Hà Đông,Tư nhân,Tư nhân,53.5,327.1028137207031,3.0,5.0,Đầy đủ,Không nội thất,M
Hoàng Văn Thụ,Hoàng Mai,Công ty Cổ phần KLB,Feliz Homes,97.0,62.8865966796875,3.0,2.0,Đầy đủ,Cơ bản,M
Quan Hoa,Cầu Giấy,Tư nhân,Tư nhân,34.0,220.58824157714844,3.0,4.0,Đầy đủ,Cơ bản,M
Nghĩa Đô,Cầu Giấy,Tư nhân,Tư nhân,40.0,205.0,6.0,4.0,Đầy đủ,Cơ bản,M
Bích Hòa,Thanh Oai,Tư nhân,Tư nhân,32.0,112.5,3.0,4.0,Đầy đủ,Cơ bản,M
Nghĩa Tân,Cầu Giấy,Tư nhân,Tư nhân,45.0,182.22222900390625,6.0,4.0,Đầy đủ,Đầy đủ,M
Ngọc Thụy,Long Biên,Tư nhân,Tư nhân,41.5,160.48193359375,6.0,3.0,Đầy đủ,Cơ bản,M
Dịch Vọng,Cầu Giấy,"Công ty CP Phát triển Đô thị Từ Liêm - LIDECO, JSC",Khu đô thị mới Dịch Vọng,86.4,67.70833587646484,2.0,2.0,Đầy đủ,Đầy đủ,M
Mỹ Đình 2,Nam Từ Liêm,Tư nhân,Tư nhân,48.0,262.5,5.0,3.0,Đầy đủ,Cơ bản,M
Tân Lập,Đan Phượng,Tư nhân,Tư nhân,43.3,151.0,4.0,3.0,Đầy đủ,Đầy đủ,Q
Vạn Phúc,Hà Đông,Tư nhân,Tư nhân,52.0,255.76922607421875,7.0,7.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,The Pavilion - Vinhomes Ocean Park,61.5,55.28455352783203,2.0,2.0,Đầy đủ,Cơ bản,M
Tây Mỗ,Nam Từ Liêm,Masterise Homes,Masteri West Heights,64.0,73.4375,2.0,2.0,Hợp đồng mua bán,Đầy đủ,M
Bồ Đề,Long Biên,Tư nhân,Tư nhân,90.0,176.11111450195312,4.0,4.0,Đầy đủ,Cơ bản,M
Đa Tốn,Gia Lâm,Masterise Homes,Masteri Waterfront,81.6,62.009803771972656,3.0,2.0,Hợp đồng mua bán,Cơ bản,M
Sài Đồng,Long Biên,Tư nhân,Tư nhân,37.0,294.5946044921875,3.0,4.0,Đầy đủ,Đầy đủ,M
Thượng Thanh,Long Biên,Tư nhân,Tư nhân,44.0,188.6363677978516,3.0,3.0,Đầy đủ,Đầy đủ,M
Quốc Tử Giám,Đống Đa,Tư nhân,Tư nhân,32.0,205.9375,3.0,4.0,Đầy đủ,Cơ bản,M
Di Trạch,Hoài Đức,Công ty Vietracimex,Hinode Royal Park,115.0,173.04347229003906,8.0,5.0,Đầy đủ,Cơ bản,M
Mễ Trì,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes West Point,70.0,92.85713958740234,2.0,2.0,Đầy đủ,Cơ bản,M
Thanh Lương,Hai Bà Trưng,Tư nhân,Tư nhân,42.0,160.7142791748047,4.0,3.0,Đầy đủ,Đầy đủ,M
Cầu Diễn,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Gardenia,80.0,67.5,2.0,2.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tư nhân,Tư nhân,64.0,281.25,8.0,5.0,Đầy đủ,Đầy đủ,M
Thanh Lương,Hai Bà Trưng,Tư nhân,Tư nhân,81.0,98.76543426513672,4.0,3.0,Đầy đủ,Cơ bản,M
Cổ Nhuế 1,Bắc Từ Liêm,Công ty CP Đầu tư và Xây dựng Quốc tế Vigeba,Thành phố Giao Lưu,190.0,305.2631530761719,4.0,4.0,Đầy đủ,Không nội thất,M
Đại Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Green Villas,233.0,240.3433532714844,5.0,5.0,Đầy đủ,Đầy đủ,M
Khâm Thiên,Đống Đa,Tư nhân,Tư nhân,32.0,156.25,3.0,3.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn MIK Corporation,Imperia Smart City,63.4,68.61198425292969,2.0,2.0,Đầy đủ,Cơ bản,M
Phú Lương,Hà Đông,Tư nhân,Tư nhân,34.0,129.41175842285156,3.0,3.0,Đầy đủ,Cơ bản,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,53.8,52.04460906982422,2.0,1.0,Đầy đủ,Cơ bản,N
Tây Mỗ,Nam Từ Liêm,Tập đoàn MIK Corporation,Imperia Smart City,63.9,60.25038909912109,2.0,2.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn MIK Corporation,Imperia Smart City,63.4,62.30283737182617,2.0,2.0,Đầy đủ,Đầy đủ,M
Bạch Đằng,Hai Bà Trưng,Tư nhân,Tư nhân,63.0,148.41270446777344,3.0,3.0,Đầy đủ,Đầy đủ,M
Thanh Lương,Hai Bà Trưng,Tư nhân,Tư nhân,38.0,165.7894744873047,5.0,3.0,Đầy đủ,Đầy đủ,M
Giang Biên,Long Biên,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị HUD,Khu đô thị Việt Hưng,117.0,37.17948532104492,4.0,2.0,Đầy đủ,Đầy đủ,M
Dịch Vọng Hậu,Cầu Giấy,Tư nhân,Tư nhân,40.1,418.95263671875,5.0,6.0,Đầy đủ,Đầy đủ,M
Mỹ Đình 2,Nam Từ Liêm,Tư nhân,Tư nhân,127.0,146.45669555664062,19.0,19.0,Đầy đủ,Đầy đủ,M
Vân Canh,Hoài Đức,Tư nhân,Tư nhân,30.1,131.22923278808594,3.0,3.0,Đầy đủ,Cơ bản,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Tonkin - Vinhomes Smart City,72.1,64.49375915527344,2.0,2.0,Đầy đủ,Cơ bản,M
Cầu Diễn,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Gardenia,93.0,354.8387145996094,5.0,5.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Masterise Homes,Masteri West Heights,80.1,84.89388275146484,3.0,2.0,Hợp đồng mua bán,Cơ bản,M
Trung Hòa,Cầu Giấy,Tư nhân,Tư nhân,200.0,500.0,42.0,46.0,Đầy đủ,Đầy đủ,N
Văn Quán,Hà Đông,Tư nhân,Tư nhân,45.0,190.0,2.0,1.0,Đầy đủ,Không nội thất,M
Trung Liệt,Đống Đa,Tư nhân,Tư nhân,42.0,147.61904907226562,4.0,3.0,Đầy đủ,Đầy đủ,M
Phú Đô,Nam Từ Liêm,Tư nhân,Tư nhân,32.0,230.0,8.0,8.0,Đầy đủ,Đầy đủ,M
Láng Hạ,Đống Đa,Tư nhân,Tư nhân,104.43,65.11538696289062,3.0,2.0,Đầy đủ,Đầy đủ,N
Yên Hòa,Cầu Giấy,Tổng Công ty CP Đầu tư Xây dựng và Thương mại Việt Nam,Chung cư CT6 Constrexim,110.0,53.18181991577149,3.0,2.0,Đầy đủ,Cao cấp,Q
Văn Chương,Đống Đa,Tư nhân,Tư nhân,39.0,594.8717651367188,5.0,7.0,Đầy đủ,Đầy đủ,Q
Đội Cấn,Ba Đình,Tư nhân,Tư nhân,427.0,690.8665161132812,9.0,13.0,Đầy đủ,Đầy đủ,M
Dịch Vọng Hậu,Cầu Giấy,Công ty CP Đầu tư và Thương mại Thăng Long,Hà Nội Paragon,108.0,59.25925827026367,3.0,2.0,Chưa có,Cơ bản,Q
Yên Hòa,Cầu Giấy,Tổng công ty Đầu tư Phát triển Hạ tầng đô thị - UDIC,Park View City,122.0,83.0,3.0,2.0,Đầy đủ,Đầy đủ,Q
Phú Diễn,Bắc Từ Liêm,Tư nhân,Tư nhân,59.0,242.3728790283203,17.0,17.0,Đầy đủ,Đầy đủ,M
Liên Mạc,Bắc Từ Liêm,Tư nhân,Tư nhân,40.0,180.0,5.0,4.0,Đầy đủ,Cơ bản,Q
Phú Lương,Hà Đông,Tư nhân,Tư nhân,30.2,149.00662231445312,4.0,3.0,Đầy đủ,Đầy đủ,M
Đại Kim,Hoàng Mai,Tư nhân,Tư nhân,72.0,240.27777099609372,5.0,6.0,Đầy đủ,Đầy đủ,M
Láng Hạ,Đống Đa,Tư nhân,Tư nhân,45.0,217.77777099609372,6.0,4.0,Đầy đủ,Đầy đủ,M
Xuân La,Tây Hồ,Tư nhân,Tư nhân,53.0,226.41510009765625,6.0,6.0,Đầy đủ,Cơ bản,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,58.3,53.17324066162109,2.0,1.0,Đầy đủ,Cơ bản,N
Giáp Bát,Hoàng Mai,Tư nhân,Tư nhân,102.0,274.5097961425781,7.0,7.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,75.4,49.73474884033203,3.0,2.0,Đầy đủ,Đầy đủ,N
Thổ Quan,Đống Đa,Tư nhân,Tư nhân,105.0,371.4285583496094,6.0,7.0,Đầy đủ,Đầy đủ,Q
Văn Chương,Đống Đa,Tư nhân,Tư nhân,39.0,538.4615478515625,6.0,5.0,Đầy đủ,Đầy đủ,Q
Bồ Đề,Long Biên,Tư nhân,Tư nhân,53.0,151.8867950439453,4.0,4.0,Đầy đủ,Đầy đủ,M
Đường Cổ Nhuế,Phường Cổ Nhuế 2,Tư nhân,Tư nhân,35.0,175.7142791748047,3.0,4.0,Đầy đủ,Cơ bản,M
Nhân Chính,Thanh Xuân,Công ty CP Đầu tư Xây dựng Phát triển nhà số 7 Hà Nội,HDI Homes Nguyễn Tuân,98.0,408.1632690429688,4.0,5.0,Đầy đủ,Đầy đủ,Q
Phú Lương,Hà Đông,Tư nhân,Tư nhân,46.0,42.39130401611328,2.0,2.0,Chưa có,Cơ bản,M
Vĩnh Tuy,Hai Bà Trưng,Công ty CP Nông sản Agrexim,Hòa Bình Green City,124.3,64.36042022705078,3.0,2.0,Đầy đủ,Đầy đủ,Q
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,67.72,45.77672576904297,2.0,2.0,Hợp đồng mua bán,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,75.0,52.0,3.0,2.0,Đầy đủ,Đầy đủ,N
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,69.3,44.01154327392578,2.0,2.0,Đầy đủ,Cao cấp,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,47.0,156.3829803466797,5.0,4.0,Đầy đủ,Đầy đủ,M
Mỹ Đình 1,Nam Từ Liêm,Tổng Công ty Đầu tư phát triển nhà và đô thị Bộ Quốc Phòng,Nhà ở xã hội Bộ Tư lệnh Tăng Thiết Giáp,60.0,225.0,18.0,18.0,Đầy đủ,Đầy đủ,N
Hà Cầu,Hà Đông,Tư nhân,Tư nhân,55.0,192.72727966308597,4.0,4.0,Đầy đủ,Đầy đủ,M
Phúc La,Hà Đông,Công ty CP Đầu tư Kinh doanh và Phát triển hạ tầng KCN Phúc Hà,Chung cư Nam Xa La,74.0,45.27027130126953,2.0,2.0,Đầy đủ,Cao cấp,Q
Đông Ngạc,Bắc Từ Liêm,Tư nhân,Tư nhân,40.0,140.0,6.0,4.0,Đầy đủ,Đầy đủ,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,115.0,139.13043212890625,3.0,2.0,Đầy đủ,Đầy đủ,M
Vĩnh Tuy,Hai Bà Trưng,Công ty CP đầu tư phát triển nhà và đô thị VINACONEX,Chung cư 536A Minh Khai,55.0,60.0,2.0,2.0,Đầy đủ,Cơ bản,N
Đa Tốn,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,55.3,46.112117767333984,2.0,1.0,Đầy đủ,Đầy đủ,M
Mễ Trì,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Green Bay Mễ Trì,83.82,77.54712677001953,3.0,2.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,64.8,47.06789779663086,2.0,2.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tập đoàn Hòa Phát,Mandarin Garden,130.0,96.15384674072266,3.0,3.0,Đầy đủ,Đầy đủ,M
Bạch Mai,Hai Bà Trưng,Tư nhân,Tư nhân,50.0,138.0,4.0,3.0,Đầy đủ,Đầy đủ,M
Hoàng Liệt,Hoàng Mai,Tư nhân,Tư nhân,40.0,168.75,4.0,3.0,Đầy đủ,Đầy đủ,M
Cầu Diễn,Nam Từ Liêm,Vimefulland,Iris Garden,60.0,333.3333435058594,4.0,4.0,Đầy đủ,Đầy đủ,N
Nhân Chính,Thanh Xuân,Tư nhân,Tư nhân,46.0,221.7391357421875,4.0,5.0,Đầy đủ,Đầy đủ,Q
Thanh Trì,Hoàng Mai,Tư nhân,Tư nhân,31.0,151.2903289794922,3.0,4.0,Đầy đủ,Đầy đủ,M
Hoàng Liệt,Hoàng Mai,Công ty CP Đầu tư và Xây dựng Xuân Mai,Rose Town 79 Ngọc Hồi,104.0,43.269229888916016,3.0,2.0,Đầy đủ,Đầy đủ,M
Hoàng Liệt,Hoàng Mai,Công ty CP Đầu tư và Xây dựng Xuân Mai,Rose Town 79 Ngọc Hồi,79.0,44.30379867553711,2.0,2.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,59.1,48.900169372558594,2.0,1.0,Đầy đủ,Đầy đủ,N
Nhân Chính,Thanh Xuân,Tư nhân,Tư nhân,36.0,222.22222900390625,4.0,6.0,Đầy đủ,Đầy đủ,M
Mễ Trì,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Green Bay Mễ Trì,69.0,69.56521606445312,2.0,2.0,Đầy đủ,Cơ bản,M
Định Công,Hoàng Mai,Tư nhân,Tư nhân,43.0,174.18605041503906,5.0,3.0,Đầy đủ,Cơ bản,M
Bạch Đằng,Hai Bà Trưng,Tập đoàn Sun Group,Sun Grand City Ancora Residence,130.0,90.76923370361328,3.0,2.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn MIK Corporation,Imperia Sola Park,75.0,68.0,3.0,2.0,Đầy đủ,Đầy đủ,N
Trung Hòa,Cầu Giấy,Công ty CP Vimeco,Vimeco II - Nguyễn Chánh,151.0,65.0,3.0,2.0,Đầy đủ,Cơ bản,Q
Đức Thượng,Hoài Đức,Tư nhân,Tư nhân,70.0,57.14285659790039,2.0,1.0,Đầy đủ,Đầy đủ,Q
Nguyễn Trãi,Hà Đông,Tư nhân,Tư nhân,47.0,244.68084716796875,4.0,4.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Masterise Homes,Masteri West Heights,41.94,65.56986236572266,1.0,1.0,Hợp đồng mua bán,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Miami,63.2,59.33544158935547,2.0,2.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tư nhân,Tư nhân,58.0,151.72413635253906,4.0,4.0,Đầy đủ,Đầy đủ,M
Tứ Liên,Tây Hồ,Tư nhân,Tư nhân,47.0,257.4468078613281,3.0,5.0,Đầy đủ,Đầy đủ,M
Trung Văn,Nam Từ Liêm,Công ty CP Tập đoàn Nam Cường Hà Nội,Khu đô thị mới Phùng Khoang,70.0,285.7142944335937,4.0,3.0,Đầy đủ,Không nội thất,M
Di Trạch,Hoài Đức,Công ty Vietracimex,Hinode Royal Park,100.0,60.0,3.0,2.0,Hợp đồng mua bán,Cơ bản,N
Phú Diễn,Bắc Từ Liêm,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,Goldmark City,145.0,68.96551513671875,3.0,2.0,Đầy đủ,Đầy đủ,M
Nhân Chính,Thanh Xuân,Công ty CP xây dựng số 1 Hà Nội,The Golden Palm Lê Văn Lương,110.0,72.7272720336914,3.0,2.0,Đầy đủ,Đầy đủ,M
Vĩnh Tuy,Hai Bà Trưng,Công ty CP Tập đoàn Sunshine,Sunshine Garden,140.0,46.42856979370117,4.0,3.0,Đầy đủ,Cơ bản,M
Vân Canh,Hoài Đức,Tư nhân,Tư nhân,30.8,134.74026489257812,4.0,3.0,Đầy đủ,Đầy đủ,M
Phú Thượng,Tây Hồ,Tư nhân,Tư nhân,203.0,443.3497619628906,6.0,5.0,Đầy đủ,Đầy đủ,M
Hà Cầu,Hà Đông,Công ty TNHH Hyundai RNC Hà Tây,Hyundai Hillstate,134.0,64.92537689208984,3.0,2.0,Đầy đủ,Đầy đủ,Q
Vĩnh Tuy,Hai Bà Trưng,Công ty CP Tập đoàn Sunshine,Sunshine Garden,95.0,67.36842346191406,3.0,2.0,Đầy đủ,Đầy đủ,M
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,126.0,87.30158996582031,3.0,2.0,Đầy đủ,Đầy đủ,M
Sài Đồng,Long Biên,Tư nhân,Tư nhân,48.0,185.4166717529297,4.0,3.0,Đầy đủ,Cơ bản,M
La Khê,Hà Đông,Công ty CP Sông Đà Thăng Long,Usilk City,79.4,51.63727951049805,2.0,2.0,Đầy đủ,Đầy đủ,M
Quang Trung,Đống Đa,Tư nhân,Tư nhân,52.0,306.73077392578125,4.0,3.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Tonkin - Vinhomes Smart City,41.2,71.60194396972656,1.0,1.0,Đầy đủ,Cơ bản,M
An Khánh,Hoài Đức,Công ty CP Sông Đà - Hoàng Long,The Golden An Khánh,60.0,53.33333206176758,2.0,2.0,Đầy đủ,Đầy đủ,N
An Khánh,Hoài Đức,Công ty CP Đầu tư Phát triển Đô thị và KCN Sông Đà - Sudico,Khu đô thị Nam An Khánh,240.0,100.0,5.0,5.0,Đầy đủ,Không nội thất,M
Mễ Trì,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Green Bay Mễ Trì,72.37,71.85297393798828,2.0,2.0,Đầy đủ,Cao cấp,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,43.0,54.1860466003418,1.0,1.0,Đầy đủ,Đầy đủ,M
Yết Kiêu,Hà Đông,Công ty CP Đầu tư Sài Gòn - Hà Nội,Samsora Premier,97.0,61.03092956542969,3.0,2.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,54.3,48.80294799804688,2.0,2.0,Đầy đủ,Đầy đủ,N
Kim Chung,Hoài Đức,Tư nhân,Tư nhân,30.0,140.0,3.0,4.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn MIK Corporation,Imperia Smart City,74.5,60.40268325805664,3.0,2.0,Hợp đồng mua bán,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Masterise Homes,Masteri West Heights,47.0,57.446807861328125,1.0,1.0,Hợp đồng mua bán,Đầy đủ,M
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,67.88,60.0,2.0,2.0,Đầy đủ,Cơ bản,M
Trung Văn,Nam Từ Liêm,Công ty CP Xây dựng số 3 - VINACONEX3,Khu đô thị Trung Văn - Vinaconex 3,84.0,48.80952453613281,3.0,2.0,Đầy đủ,Đầy đủ,Q
Quảng An,Tây Hồ,Tư nhân,Tư nhân,136.0,382.3529357910156,18.0,18.0,Đầy đủ,Đầy đủ,M
Quảng An,Tây Hồ,Tư nhân,Tư nhân,442.0,429.8642578125,8.0,8.0,Đầy đủ,Cơ bản,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,43.0,61.627906799316406,1.0,1.0,Đầy đủ,Không nội thất,N
Đa Tốn,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,62.6,45.527156829833984,2.0,2.0,Đầy đủ,Đầy đủ,M
Mỗ Lao,Hà Đông,CapitaLand Development (Việt Nam),Mulberry Lane,89.6,55.80357360839844,2.0,2.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Miami,54.8,51.09489059448242,2.0,1.0,Đầy đủ,Đầy đủ,M
Láng Thượng,Đống Đa,Tư nhân,Tư nhân,88.0,286.3636474609375,5.0,5.0,Đầy đủ,Đầy đủ,M
Trung Văn,Nam Từ Liêm,Công ty CP Đầu tư và Thương mại Thủ Đô,Ecolife Capitol,110.0,53.6363639831543,3.0,2.0,Đầy đủ,Đầy đủ,M
Yên Sở,Hoàng Mai,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,Gelexia Riverside,74.0,60.81081008911133,2.0,2.0,Đầy đủ,Đầy đủ,M
Thanh Xuân Trung,Thanh Xuân,Công ty CP Sông Đà 7,Khu nhà ở 90 Nguyễn Tuân,72.0,69.44444274902344,2.0,2.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn MIK Corporation,Imperia Smart City,76.0,59.8684196472168,3.0,2.0,Đầy đủ,Cơ bản,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Miami,82.0,51.219512939453125,3.0,2.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn MIK Corporation,Imperia Smart City,55.1,63.5208740234375,2.0,1.0,Đầy đủ,Đầy đủ,M
Cầu Diễn,Nam Từ Liêm,Công ty CP Đầu tư & Phát triển Hạ tầng Hoàng Thành,Hoàng Thành Pearl,118.0,63.55932235717773,3.0,2.0,Hợp đồng mua bán,Đầy đủ,M
Yên Hòa,Cầu Giấy,Công ty CP Đầu tư Văn Phú - Invest,Home City Trung Kính,98.0,71.42857360839844,2.0,2.0,Đầy đủ,Đầy đủ,M
Vĩnh Tuy,Hai Bà Trưng,Tập đoàn Vingroup,Times City,75.0,93.33333587646484,2.0,2.0,Đầy đủ,Đầy đủ,M
Vĩnh Tuy,Hai Bà Trưng,Công ty CP Nông sản Agrexim,Hòa Bình Green City,115.0,69.56521606445312,3.0,2.0,Đầy đủ,Đầy đủ,Q
Liễu Giai,Ba Đình,Tư nhân,Tư nhân,143.0,290.20977783203125,4.0,4.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tổng công ty CP Xuất nhập khẩu và Xây dựng Việt Nam,Khu đô thị Trung Hòa - Nhân Chính,119.0,54.621849060058594,2.0,2.0,Đầy đủ,Đầy đủ,M
Đông Ngạc,Bắc Từ Liêm,Tư nhân,Tư nhân,56.0,89.28571319580078,2.0,2.0,Đầy đủ,Đầy đủ,M
Phúc Đồng,Long Biên,Công ty CP Tập đoàn Sunshine,Sunshine Green Iconic,165.0,74.54545593261719,3.0,3.0,Hợp đồng mua bán,Cơ bản,Q
