Xã/Phường,Quận/Huyện,Chủ đầu tư,Tên dự án,Diện tích (m²),Mức giá (triệu/m²),Số phòng ngủ (phòng),Số toilet (phòng),Pháp lý,Nội thất,Mã lịch sử giá
Tân Triều,Thanh Trì,Tư nhân,Tư nhân,64.7,100.46368408203124,3.0,4.0,Đầy đủ,Đầy đủ,M
Dịch Vọng,Cầu Giấy,Công ty Cổ phần Tập đoàn FLC,Bamboo Airways Tower,125.4,84.52950286865234,3.0,2.0,Hợp đồng mua bán,Cơ bản,Q
Việt Hưng,Long Biên,Tư nhân,Tư nhân,60.0,146.6666717529297,1.0,1.0,Đầy đủ,Không nội thất,M
Cổ Nhuế 1,Bắc Từ Liêm,Công ty CP Đầu tư và Xây dựng Quốc tế Vigeba,Thành phố Giao Lưu,170.0,390.0,5.0,4.0,Đầy đủ,Đầy đủ,M
Đa Tốn,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,43.0,55.58139419555664,2.0,1.0,Đầy đủ,Đầy đủ,M
Đại Mỗ,Nam Từ Liêm,Tập đoàn Lã Vọng,Louis City,100.0,225.0,6.0,5.0,Đầy đủ,Không nội thất,N
Mỹ Đình 1,Nam Từ Liêm,Công ty Cổ phần bất động sản Mỹ Đình,The Emerald,90.0,73.33333587646484,3.0,2.0,Đầy đủ,Đầy đủ,M
Dương Nội,Hà Đông,Công ty CP Đầu tư Đô thị An Hưng,Khu đô thị mới An Hưng,306.0,199.34640502929688,6.0,5.0,Đầy đủ,Cơ bản,M
Đông Hội,Đông Anh,Tập đoàn Vingroup,Vinhomes Cổ Loa,60.0,108.33333587646484,2.0,2.0,Hợp đồng mua bán,Đầy đủ,N
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,An Quý Villa - KĐT Dương Nội,180.0,205.55555725097656,5.0,5.0,Đầy đủ,Không nội thất,Q
Dương Xá,Gia Lâm,CapitaLand Development (Việt Nam),Chung cư The Senique Hanoi,43.0,79.53488159179688,1.0,1.0,Hợp đồng mua bán,Đầy đủ,N
Dịch Vọng Hậu,Cầu Giấy,Tư nhân,Tư nhân,66.8,505.8382873535156,7.0,10.0,Đầy đủ,Cơ bản,M
Thanh Liệt,Thanh Trì,Tư nhân,Tư nhân,68.0,110.29412078857422,3.0,3.0,Đầy đủ,Không nội thất,M
Nghĩa Đô,Cầu Giấy,Tư nhân,Tư nhân,95.0,336.84210205078125,4.0,4.0,Đầy đủ,Đầy đủ,M
Liễu Giai,Ba Đình,Tư nhân,Tư nhân,70.0,354.28570556640625,5.0,6.0,Đầy đủ,Đầy đủ,M
Cổ Nhuế 1,Bắc Từ Liêm,Công ty CP Ngôi sao An Bình,Green Stars,66.8,60.62874221801758,2.0,2.0,Đầy đủ,Đầy đủ,M
Cổ Nhuế 1,Bắc Từ Liêm,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,An Bình City,90.0,63.33333206176758,3.0,2.0,Đầy đủ,Đầy đủ,M
Cầu Diễn,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Gardenia,79.0,72.15190124511719,2.0,2.0,Đầy đủ,Cơ bản,M
Vĩnh Phúc,Ba Đình,Tư nhân,Tư nhân,50.0,320.0,6.0,4.0,Đầy đủ,Đầy đủ,M
Đại Kim,Hoàng Mai,Tập đoàn Bitexco,The Manor Central Park,200.0,340.0,6.0,6.0,Đầy đủ,Đầy đủ,M
Thanh Lương,Hai Bà Trưng,Tư nhân,Tư nhân,40.0,165.0,4.0,3.0,Đầy đủ,Đầy đủ,M
Khâm Thiên,Đống Đa,Tư nhân,Tư nhân,48.0,495.8333435058594,5.0,5.0,Đầy đủ,Cơ bản,M
La Khê,Hà Đông,Công ty CP Phát triển Đô thị Quốc tế Việt Nam,ParkCity Hà Nội,360.0,277.7777709960937,6.0,5.0,Hợp đồng mua bán,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,42.9,60.60606002807617,1.0,1.0,Đầy đủ,Cơ bản,N
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,55.0,52.727272033691406,2.0,1.0,Đầy đủ,Đầy đủ,N
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Sapphire-Vinhomes Smart City,54.7,54.8446044921875,2.0,1.0,Đầy đủ,Đầy đủ,N
Giảng Võ,Ba Đình,Công ty CP Tập đoàn Trung Thủy,Lancaster Hà Nội,126.0,86.0,3.0,2.0,Đầy đủ,Đầy đủ,M
Cổ Nhuế 1,Bắc Từ Liêm,Công ty CP Ngôi sao An Bình,Green Stars,102.0,56.86274337768555,3.0,2.0,Đầy đủ,Đầy đủ,M
Cổ Nhuế 1,Bắc Từ Liêm,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,An Bình City,90.0,64.44444274902344,3.0,2.0,Đầy đủ,Đầy đủ,M
Đội Cấn,Ba Đình,Tư nhân,Tư nhân,42.0,185.7142791748047,3.0,4.0,Đầy đủ,Đầy đủ,M
Phú Thượng,Tây Hồ,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,123.0,51.219512939453125,3.0,2.0,Đầy đủ,Đầy đủ,M
Phú Diễn,Bắc Từ Liêm,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,Goldmark City,78.0,61.53845977783203,2.0,2.0,Đầy đủ,Đầy đủ,M
Cầu Diễn,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Gardenia,80.0,72.5,2.0,2.0,Đầy đủ,Đầy đủ,M
Vĩnh Tuy,Hai Bà Trưng,Công ty CP Tập đoàn Sunshine,Sunshine Garden,141.0,55.319149017333984,5.0,2.0,Đầy đủ,Cơ bản,M
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,Solasta Mansion Dương Nội,212.0,160.0,4.0,5.0,Đầy đủ,Không nội thất,N
Mỹ Đình 2,Nam Từ Liêm,HD Mon Holdings,The Zei Mỹ Đình,92.0,78.26087188720703,2.0,2.0,Đầy đủ,Đầy đủ,M
Cầu Diễn,Nam Từ Liêm,Tập đoàn Vingroup,Vinhomes Gardenia,80.0,76.25,2.0,2.0,Đầy đủ,Đầy đủ,M
Xuân La,Tây Hồ,Tư nhân,Tư nhân,51.0,480.3921508789063,6.0,7.0,Đầy đủ,Đầy đủ,M
Thượng Đình,Thanh Xuân,Tập đoàn Vingroup,Royal City,109.0,72.47706604003906,2.0,2.0,Đầy đủ,Cơ bản,M
La Khê,Hà Đông,Công ty CP Đầu tư Hải Phát,HPC Landmark 105,118.0,42.37288284301758,3.0,3.0,Đầy đủ,Đầy đủ,M
Yên Hòa,Cầu Giấy,Công ty CP tập đoàn đầu tư và xây dựng H.O.U.S.I.N.G,Tòa nhà Housing,60.0,146.6666717529297,4.0,3.0,Đầy đủ,Đầy đủ,N
Dương Nội,Hà Đông,Công ty CP Tập đoàn Nam Cường Hà Nội,Solasta Mansion Dương Nội,170.0,158.8235321044922,5.0,5.0,Đầy đủ,Không nội thất,N
Ngọc Lâm,Long Biên,Tư nhân,Tư nhân,52.0,136.53846740722656,4.0,4.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tư nhân,Tư nhân,40.0,360.0,3.0,4.0,Đầy đủ,Đầy đủ,M
Phú Thượng,Tây Hồ,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,121.0,51.23966979980469,3.0,2.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,52.0,47.11538314819336,1.0,1.0,Đầy đủ,Cơ bản,M
La Khê,Hà Đông,Công ty CP Phát triển Đô thị Quốc tế Việt Nam,Park Kiara,82.0,91.46341705322266,2.0,2.0,Đầy đủ,Cơ bản,M
Hoàng Liệt,Hoàng Mai,Công ty CP Tập đoàn Hưng Thịnh,Hà Nội Melody Residences,80.0,60.0,2.0,2.0,Đầy đủ,Cơ bản,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,69.2,44.79769134521485,2.0,2.0,Đầy đủ,Đầy đủ,M
Tương Mai,Hoàng Mai,Tư nhân,Tư nhân,52.6,199.61978149414065,12.0,12.0,Đầy đủ,Đầy đủ,M
Trung Hòa,Cầu Giấy,Tư nhân,Tư nhân,128.0,644.53125,5.0,4.0,Đầy đủ,Đầy đủ,M
Thạch Bàn,Long Biên,Tư nhân,Tư nhân,35.0,157.14285278320312,3.0,4.0,Đầy đủ,Cơ bản,M
Mỹ Đình 2,Nam Từ Liêm,HD Mon Holdings,The Zei Mỹ Đình,106.3,88.05268096923828,3.0,2.0,Đầy đủ,Đầy đủ,M
Mỹ Đình 2,Nam Từ Liêm,HD Mon Holdings,The Zei Mỹ Đình,107.8,89.14656829833984,3.0,2.0,Đầy đủ,Đầy đủ,M
Thượng Đình,Thanh Xuân,Tập đoàn Vingroup,Royal City,145.0,75.86206817626953,3.0,3.0,Đầy đủ,Đầy đủ,M
Đồng Mai,Hà Đông,Tư nhân,Tư nhân,35.0,80.0,4.0,3.0,Đầy đủ,Cơ bản,M
Bồ Đề,Long Biên,Tư nhân,Tư nhân,48.0,179.1666717529297,4.0,4.0,Đầy đủ,Đầy đủ,M
Phú Thượng,Tây Hồ,Công ty CP Tập đoàn Sunshine,Sunshine Riverside,95.0,68.42105102539062,3.0,2.0,Đầy đủ,Cơ bản,M
Cầu Diễn,Nam Từ Liêm,Vimefulland,Iris Garden,62.0,72.58064270019531,2.0,2.0,Đầy đủ,Đầy đủ,M
Tây Mỗ,Nam Từ Liêm,Tập đoàn Vingroup,The Miami,74.8,56.14973068237305,3.0,2.0,Đầy đủ,Cao cấp,M
Phú Diễn,Bắc Từ Liêm,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,Goldmark City,134.5,66.91449737548828,3.0,2.0,Đầy đủ,Đầy đủ,M
Phú Thượng,Tây Hồ,Công ty CP Tập đoàn Sunshine,Sunshine Golden River,142.0,98.591552734375,3.0,2.0,Hợp đồng mua bán,Cơ bản,Q
Phú Thượng,Tây Hồ,Công ty TNHH phát triển khu đô thị Nam Thăng Long,Khu đô thị Nam Thăng Long - Ciputra,180.0,295.0,5.0,4.0,Đầy đủ,Đầy đủ,M
Dương Xá,Gia Lâm,Tập đoàn Vingroup,Vinhomes Ocean Park Gia Lâm,42.5,60.47058868408203,1.0,1.0,Đầy đủ,Cơ bản,M
Đông Hội,Đông Anh,Công ty CP Eurowindow Holding,Eurowindow River Park,68.6,52.47813415527344,2.0,2.0,Hợp đồng mua bán,Đầy đủ,M
Mai Động,Hoàng Mai,Tư nhân,Tư nhân,115.0,169.56521606445312,5.0,5.0,Đầy đủ,Đầy đủ,M
Ngọc Khánh,Ba Đình,Tập đoàn Vingroup,Vinhomes Metropolis - Liễu Giai,78.09,99.88475036621094,2.0,2.0,Đầy đủ,Cao cấp,M
